KODE;NAMA;SAT;SAT2;KONVSAT2;SAT3;KONVSAT3;SAT4;KONVSAT4;SAT5;KONVSAT5;SAT6;KONVSAT6;SAT7;KONVSAT7;SAT8;KONVSAT8;SAT9;KONVSAT9;SAT10;KONVSAT10;HARGABELI;HPP;HARGAJUAL1;MINQTY;HARGAJUAL2;MINQTY2;HARGAJUAL3;MINQTY3;
8888166606395;SALTCHEESE COKELAT SS;PCS;PCS;1;KTK;147;;0;;0;;0;;0;;0;;0;;0;850;0;1000;0;0;0;0;0;
8888166607132;CLASSIC CHOCOLATE  WAFER;PCS;PCS;1;PCS;6;;0;;0;;0;;0;;0;;0;;0;20850;0;24000;0;0;0;0;0;
8888166607392;SALTCHEESE COMBO COKLAT;PCS;PCS;1;KTK;20;;0;;0;;0;;0;;0;;0;;0;10405;0;12000;0;0;0;0;0;
8888166609365;LEMONIA  CHOCOLATE COOKIES;PCS;PCS;1;PAC;12;;0;;0;;0;;0;;0;;0;;0;7450;0;8500;0;0;0;0;0;
8888166609839;OZLO COOKIES;PCS;PCS;1;PAK;20;;0;;0;;0;;0;;0;;0;;0;1750;0;2500;0;0;0;0;0;
8888166611146;CAMINO TRIPLE JOY;BKS;BKS;1;BKS;7;;0;;0;;0;;0;;0;;0;;0;9400;0;11000;0;0;0;0;0;
8888166621237;SERENA STRAWBERRY CAKE;PCS;PCS;1;PCS;6;;0;;0;;0;;0;;0;;0;;0;10550;0;13000;0;0;0;0;0;
8888166621244;SERENA BANANA SHORT CAKE;PCS;PCS;1;PCS;6;;0;;0;;0;;0;;0;;0;;0;10550;0;13000;0;0;0;0;0;
8888166621251;SERENA TIRAMISU;PCS;PCS;1;PCS;6;;0;;0;;0;;0;;0;;0;;0;10550;0;13000;0;0;0;0;0;
89000;MIE LIDI NAGA 1/2 KG                                  #UPDATE#30/01/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;297120;297120;305000;0;0;0;0;0;
89001;MIE LIDI NAGA 1 KG                                    #UPDATE#30/01/2023#;CRT;CRT;1;CRT;1;;0;;0;;0;;0;;0;;0;;0;297120;297120;305000;0;0;0;0;0;
